numero,nom,prenom,genre,district,region,parti_politique,groupe_parlementaire,status
103,RANDRIAMASINORO,Tahiry Ny Rina,Masculin,Antananarivo IV,ANALAMANGA,Firaisankina,FIRAISANKINA,ACTIVE
104,RANDRIANANTENAINA,Olivier Antonny José,Masculin,Antsirabe II,VAKINANKARATRA,Firaisankina,FIRAISANKINA,ACTIVE
105,RANDRIANARISOA,Bien Aimé Arsène,Masculin,Fenoarivobe,BONGOLAVA,IRMAR,GPIF1,ACTIVE
106,RANDRIANARISOA,Stanislas,Masculin,Antananarivo II,ANALAMANGA,Firaisankina,FIRAISANKINA,ACTIVE
107,RANDRIANARIVO,Edwin,Masculin,Ambato Boeny,BOENY,Indépendant,GPIF1,ACTIVE
108,RANDRIANASOLO,Augustin,Masculin,Marolambo,ATSINANANA,IRMAR,GPIF2,ACTIVE
109,RANDRIANASOLO,Jean Nicolas,Masculin,Betroka,ANOSY,GJMP,Non_Affilié,ACTIVE
110,RANDRIANASOLO,Tojosoa Idéal,Masculin,Vangaindrano,ATSIMO ATSINANANA,IRMAR,GPIF2,ACTIVE
111,RANDRIANASOLONIAIKO,Siteny Thierry,Masculin,Toliara I,ATSIMO ANDREFANA,Firaisankina,FIRAISANKINA,ACTIVE
112,RANDRIARISON,Maurice Lucien,Masculin,Mananjary,VATOVAVY,IRMAR,GPIF3,ACTIVE
113,RANDRIATAHINAMALALA,Livasoa Moratiavina,Masculin,Betafo,VAKINANKARATRA,Firaisankina,FIRAISANKINA,ACTIVE
114,RAPHAEL,Jean Francois,Masculin,Sakaraha,ATSIMO ANDREFANA,Firaisankina,FIRAISANKINA,ACTIVE
115,RAPHAELIEN,Solofoniaina Emilien Narson,Masculin,Mampikony,SOFIA,IRMAR,GPIF3,ACTIVE
116,RASOAMALALA,Honorine,Feminin,Ambohimahasoa,HAUTE MATSIATRA,IRMAR,GPIF1,ACTIVE
117,RASOANIRINA,Marcelline,Feminin,Ambalavao,HAUTE MATSIATRA,Indépendant,GPIF1,ACTIVE
118,RASOLOMANANA,Beby Olivier,Masculin,Mandritsara,SOFIA,IRMAR,GPIF2,ACTIVE
119,RATOLOJANAHARY,Arsène,Masculin,Midongy Atsimo,ATSIMO ATSINANANA,IRMAR,GPIF3,ACTIVE
120,RATSIMANDRIONA,Aida Hardy,Feminin,Tolagnaro,ANOSY,IRMAR,GPIF3,ACTIVE
121,RATSIRAKA,Iarovana Roland,Masculin,Toamasina I,ATSINANANA,Kolektifa,Non_Affilié,ACTIVE
122,RATSIRAKA,Sophie Soamiadana,Feminin,Vatomandry,ATSINANANA,Indépendant,Non_Affilié,ACTIVE
123,RATSIVAHINISOLO,Andriniony,Masculin,Atsimondrano,ANALAMANGA,IRMAR,IRMAR,ACTIVE
124,RAVELONASY,Barthélemy Samuel,Masculin,Brickaville,ATSINANANA,IRMAR,GPIF2,ACTIVE
125,RAVONIARISOA,Mariette,Feminin,Ikongo,FITOVINANY,IRMAR,IRMAR,ACTIVE
126,RAYMOND,,Masculin,Antsiranana II,DIANA,IRMAR,GPIF1,ACTIVE
127,RAZAFIHARISON,Andriamanantena,Masculin,Ampanihy,ATSIMO ANDREFANA,IRMAR,Non_Affilié,ACTIVE
128,RAZAFIMAHATRATRA,Daniel Jean Christian,Masculin,Ambalavao,HAUTE MATSIATRA,IRMAR,IRMAR,ACTIVE
129,RAZAFIMAHEFA,Tianarivelo Edouard,Masculin,Ambatolampy,VAKINANKARATRA,IRMAR,GPIF1,ACTIVE
130,RANDRIAMISANDRATRA,Barthélémy,Masculin,Antananarivo I,ANALAMANGA,FIRAISANKINA,FIRAISANKINA,ACTIVE
131,RAZAFIMANDIMBY,Harijao Percy,Masculin,Ankazobe,ANALAMANGA,FIVOI,IRMAR,ACTIVE
132,RAZAFIMANDROSO,NEE RAZANAJATO Virginie,Feminin,Moramanga,ALAOTRA MANGORO,IRMAR,IRMAR,ACTIVE
133,RAZAFINDRABARY,Narson Seth Jean Richard,Masculin,Ambatofinandrahana,AMORON'I MANIA,IRMAR,GPIF3,ACTIVE
