numero,nom,prenom,genre,district,region,parti_politique,groupe_parlementaire,status,photo_url
113.0,RANDRIATAHINAMALALA,Livasoa Moratiavina,Masculin,Betafo,VAKINANKARATRA,Firaisankina,FIRAISANKINA,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/PHOTO_113_randriatahinamalala_livasoa-moratiavina.webp
114.0,RAPHAEL,Jean Francois,Masculin,Sakaraha,ATSIMO ANDREFANA,Firaisankina,FIRAISANKINA,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N114.webp
115.0,RAPHAELIEN,Solofoniaina Emilien Narson,Masculin,Mampikony,SOFIA,IRMAR,GPIF3,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/105-RAPHAELIEN-Solofoniaina-Emilien-Narison-Mampikony-Sofia.webp
116.0,RASOAMALALA,Honorine,Feminin,Ambohimahasoa,HAUTE MATSIATRA,IRMAR,GPIF1,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N116_wllsaL1.webp
117.0,RASOANIRINA,Marcelline,Feminin,Ambalavao,HAUTE MATSIATRA,Indépendant,GPIF1,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N117.webp
118.0,RASOLOMANANA,Beby Olivier,Masculin,Mandritsara,SOFIA,IRMAR,GPIF2,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N118.webp
119.0,RATOLOJANAHARY,Arsène,Masculin,Midongy Atsimo,ATSIMO ATSINANANA,IRMAR,GPIF3,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N119.webp
120.0,RATSIMANDRIONA,Aida Hardy,Feminin,Tolagnaro,ANOSY,IRMAR,GPIF3,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N120.webp
121.0,RATSIRAKA,Iarovana Roland,Masculin,Toamasina I,ATSINANANA,Kolektifa,Non_Affilié,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N121_Xpp46bZ.webp
122.0,RATSIRAKA,Sophie Soamiadana,Feminin,Vatomandry,ATSINANANA,Indépendant,Non_Affilié,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/PHOTO_122_ratsiraka_sophie-soamiadana.webp
123.0,RATSIVAHINISOLO,Andriniony,Masculin,Atsimondrano,ANALAMANGA,IRMAR,IRMAR,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N123.webp
124.0,RAVELONASY,Barthélemy Samuel,Masculin,Brickaville,ATSINANANA,IRMAR,GPIF2,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N124.webp
125.0,RAVONIARISOA,Mariette,Feminin,Ikongo,FITOVINANY,IRMAR,IRMAR,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N125.webp
126.0,RAYMOND,,Masculin,Antsiranana II,DIANA,IRMAR,GPIF1,ACTIVE,
127.0,RAZAFIHARISON,Andriamanantena,Masculin,Ampanihy,ATSIMO ANDREFANA,IRMAR,Non_Affilié,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N127.webp
128.0,RAZAFIMAHATRATRA,Daniel Jean Christian,Masculin,Ambalavao,HAUTE MATSIATRA,IRMAR,IRMAR,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N128.webp
129.0,RAZAFIMAHEFA,Tianarivelo Edouard,Masculin,Ambatolampy,VAKINANKARATRA,IRMAR,GPIF1,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N129_AS8juYo.webp
