numero,nom,prenom,genre,district,region,parti_politique,groupe_parlementaire,status,photo_url
32.0,HANOGNONA,Hervé,Masculin,Betioky Sud,ATSIMO ANDREFANA,IRMAR,IRMAR,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N32.webp
33.0,IBRAHIM,Issa Charles,Masculin,Antsiranana I,DIANA,Indépendant,GPIF1,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N33.webp
34.0,IMBIKY,Herilaza,Masculin,Sainte Marie,ANALANJIROFO,IRMAR,IRMAR,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/PHOTO_34_imbiky_herilaza.webp
35.0,JAOZANDRY,René,Masculin,Bealanana,SOFIA,Indépendant,GPIF3,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N35.webp
36.0,JEAN,FRANCOIS Michel,Masculin,Antsirabe I,VAKINANKARATRA,Firaisankina,FIRAISANKINA,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N36.webp
37.0,MAHAVITARA,Sylvestre,Masculin,Vangaindrano,ATSIMO ATSINANANA,Indépendant,IRMAR,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/37.webp
38.0,MAMANGY,Norbert,Masculin,Sambava,SAVA,IRMAR,Non_Affilié,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N38.webp
39.0,MAMIHAJA,Charlot,Masculin,Mananjary,VATOVAVY,Firaisankina,FIRAISANKINA,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N39.webp
40.0,MAMINIRINA,Jolce Emilien,Masculin,Manakara,FITOVINANY,IRMAR,IRMAR,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N40.webp
41.0,MANANTENA,Hajanirina Dinah,Masculin,Ifanadiana,VATOVAVY,IRMAR,Non_Affilié,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N41_cLKbmyo.webp
42.0,MANASOA,Donat Tang,Masculin,Mahanoro,ATSINANANA,IRMAR,IRMAR,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/42.webp
43.0,MANDRARA,Louis Fernandy,Masculin,Ambilobe,DIANA,Indépendant,GPIF1,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N43.webp
44.0,RAKOTOHARITIANA,Navalona Franky Aimé,Masculin,Antananarivo III,ANALAMANGA,Mouvement Gasikara,Non_Affilié,ACTIVE,https://assemblee-nationale.mg/static/siteweb/images/repoblika.webp
45.0,MARA,Volamiranty Donna,Feminin,Nosy Varika,VATOVAVY,IRMAR,Non_Affilié,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/45.webp
46.0,MARINDRY,Rasolohery Andry Chrinssant,Masculin,Marovoay,BOENY,Indépendant,Non_Affilié,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N46.webp
47.0,MBADE,Jeannine Gabrielle,Feminin,Maevatanana,BETSIBOKA,IRMAR,GPIF3,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N47.webp
48.0,MENAVOLO,Alban,Masculin,Soanierana Ivongo,ANALANJIROFO,Indépendant,GPIF1,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N48_XqdCV3b.webp
49.0,MICHELLE,Bavy Angelica,Feminin,Fenerive Est,ANALANJIROFO,IRMAR,GPIF3,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N49.webp
50.0,MILAVONJY,Andriasy Philobert,Masculin,Ambovombe,ANDROY,IRMAR,IRMAR,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N50_AldkcIG.webp
51.0,MONG,MANN Bismark,Masculin,Ihosy,IHOROMBE,IRMAR,GPIF3,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N51.webp
52.0,NAHARIMAMY,Lucien Irmah,Feminin,Toamasina I,ATSINANANA,IRMAR,IRMAR,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N52_z14UazP.webp
53.0,NAKANY,Charly Zafimagnely,Masculin,Beroroha,ATSIMO ANDREFANA,Indépendant,GPIF3,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N53.webp
54.0,NASIRA,Julien,Masculin,Antalaha,SAVA,IRMAR,Non_Affilié,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N54_ARjkQVM.webp
55.0,NOURDINE,Chabani,Masculin,Tolagnaro,ANOSY,Indépendant,GPIF1,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N55.webp
56.0,OLIVIER,Rabeamina,Masculin,Port Berg├®,SOFIA,Indépendant,GPIF1,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N56.webp
57.0,PEPIN,Michou,Masculin,Ankazoabo,ATSIMO ANDREFANA,IRMAR,Non_Affilié,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/47-380x380.webp
58.0,RABEHARISON,Bernardin,Masculin,Befandriana Nord,SOFIA,Indépendant,GPIF1,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N58.webp
59.0,RALIFOSY,Laurent,Masculin,,,AVI (Firaisan-kina),FIRAISANKINA,ACTIVE,https://assemblee-nationale.mg/static/siteweb/images/repoblika.webp
60.0,RABENIRINA,Maminiaina Solondraibe,Masculin,Ambohidratrimo,ANALAMANGA,Firaisankina,FIRAISANKINA,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N60_NlZcbGI.webp
61.0,RABY,SAVATSARAH Ain' Harimanga Gabrielle,Feminin,Farafangana,ATSIMO ATSINANANA,Indépendant,IRMAR,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N61.webp
62.0,RADAFINDRANARO,ANDRIAMANGA Rijaniaina Thierry,Masculin,Avaradrano,ANALAMANGA,IRMAR,GPIF2,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N62.webp
63.0,RAFANONIAINA,Haja Rivolala Elysée Théodore,Masculin,Anosibe An'Ala,ALAOTRA MANGORO,IRMAR,GPIF2,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N63.webp
64.0,RAFIDIMANANA,Désiré,Masculin,Antananarivo IV,ANALAMANGA,IRMAR,GPIF1,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/PHOTO_64_rafidimanana_desire_1TvyoUj.webp
65.0,RAFIDIMANANA,Narson,Masculin,Antanifotsy,VAKINANKARATRA,FIraisankina,FIRAISANKINA,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/55-150x150.webp
66.0,HERINIAINA,Tia Solofomanga,Masculin,Mahajanga,BOENY,,IRMAR,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/PHOTO_66_heriniaina_tia-solofomanga.webp
67.0,RAHARIMANARIVO,Voahanginiaina Berthine,Feminin,Atsimondrano,ANALAMANGA,Firaisankina TIM,FIRAISANKINA,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/PHOTO_67_raharimanarivo_voahanginiaina-berthine.webp
68.0,MAHARANTE,Rakotonandrasana Jean de Dieu Benjamin,Masculin,Toliara I,ATSIMO ANDREFANA,,IRMAR,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/PHOTO_68_maharante_rakotonandrasana-jean-de-dieu-benjamin.webp
69.0,SYLVAIN,Claude Emile,,Antsiranana I,DIANA,,IRMAR,ACTIVE,https://assemblee-nationale.mg/static/siteweb/images/repoblika.webp
70.0,RAHOLDINA,RANAIVO Herinantsoina,Masculin,Antananarivo V,ANALAMANGA,IRMAR,IRMAR,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N70_CJN2EQE.webp
71.0,RAHOLIJAONA,Harson,Masculin,Tsiroanomandidy,BONGOLAVA,Indépendant,Non_Affilié,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N71.webp
72.0,RAJAOBELINA,Lova Herizo,Masculin,Moramanga,ALAOTRA MANGORO,IRMAR,GPIF1,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/63-150x150.webp
73.0,RAJAONARY,Andriantsizafy Mahenintsoa,Masculin,Ambatomainty,MELAKY,Indépendant,GPIF2,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N73.webp
74.0,RAJOELIMALALA,Herihasina Eljo,Masculin,Antanifotsy,VAKINANKARATRA,Indépendant,GPIF1,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N74.webp
75.0,RAJOELINA,Andriam-harimanana Seth,Masculin,Fianarantsoa,HAUTE MATSIATRA,IRMAR,GPIF3,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N75.webp
76.0,RAKOTOARIMANANA,Patrice,Masculin,Andilamena,ALAOTRA MANGORO,IRMAR,GPIF2,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N76.webp
77.0,RAKOTOARISOA,Nirina Fenohery Johnny,Masculin,Ambohidratrimo,ANALAMANGA,IRMAR,GPIF2,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N77.webp
78.0,RAKOTOMALALA,Biri Golbert,Masculin,Morombe,ATSIMO ANDREFANA,Indépendant,GPIF1,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N78_1vOxGXq.webp
79.0,RAKOTOMALALA,Miarintsoa,Masculin,Ambatolampy,VAKINANKARATRA,Indépendant,Non_Affilié,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N79_Nwc9S44.webp
80.0,RAKOTOMANGA,Lantoarivola Sedera,Feminin,Antananarivo II,ANALAMANGA,IRMAR,IRMAR,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/80.webp
81.0,RAKOTONDRABESA,Pierre Aimé,Masculin,Arivonimamo,ITASY,FIVOI,IRMAR,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N81.webp
82.0,RAKOTONDRAMANITRA,Vahiny Felix,Masculin,Amparafaravola,ALAOTRA MANGORO,Indépendant,GPIF2,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N82.webp
83.0,RAKOTONDRASOA,Fetra,Masculin,Miarinarivo,ITASY,IRMAR,IRMAR,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/image_2024-08-21_142708373.webp
84.0,RAKOTONIAINA,Lova Andrien Marie,Masculin,Miandrivazo,MENABE,Firaisankina,FIRAISANKINA,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N84.webp
85.0,RAKOTONIAINA,Pety,Masculin,Ikalamavony,HAUTE MATSIATRA,Indépendant,GPIF1,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N85_BKfazU6.webp
86.0,RAKOTONIRINA,Richard Joseph,Masculin,Amboasary,ANOSY,Indépendant,GPIF1,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N86.webp
